"Módulo de Análise: Origem de Dados da Coleta";
"Data de solicitação 30/10/2018";
"Período Solicitado de 01/09/2018 até 30/10/2018";
"Agente";"Ponto / Grupo";"Data";"Hora";"Ativa C (kWh)";"Ativa G (kWh)";"Qualidade";"Origem";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;19;0,000;1.153,080;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;20;0,000;1.152,317;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;21;0,000;1.152,293;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;22;0,000;1.152,122;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;23;0,000;1.152,307;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;24;0,000;1.152,406;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;1;0,000;1.151,806;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;2;0,000;1.152,593;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;3;0,000;1.151,941;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;4;0,000;1.152,584;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;5;0,000;1.151,824;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;6;0,000;1.152,465;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;7;0,000;1.151,873;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;8;2,908;500,129;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;9;0,000;1.138,950;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;10;0,000;1.118,762;"Completo";"COLETA DIÁRIA";
